transaction_id,client_id,commercial_id,date_transaction,region,ville,segment_client,age_client,anciennete_client_annees,canal_acquisition,campagne_marketing,cout_acquisition_eur,categorie_produit,produit,nb_licences,montant_brut_eur,remise_pct,montant_net_eur,nb_contacts_avant_vente,duree_cycle_vente_jours,taux_conversion_pct,score_satisfaction,nps_score,taux_utilisation_pct,nb_tickets_support,uptime_pct,churn,statut_renouvellement
TXN-00011,CLI-1540,COM-176,2021-03-03,Île-de-France,Boulogne-Billancourt,PME,37,3,Inbound Marketing,Salon Pro,1337.82,Support & Maintenance,Support Platinum,42,1217.96,22.4,945.14,2,4,10.8,8.9,28,96.3,3,100.0,0,Upsell
TXN-00012,CLI-2185,COM-138,2021-07-11,Normandie,Le Havre,Startup,42,7,Partenaire Revendeur,None,0.0,Logiciels SaaS,HR Manager,18,4219.75,1.0,4177.55,2,19,50.4,6.2,27,84.7,1,100.0,0,Renouvelé
TXN-00013,CLI-1648,COM-171,2022-03-24,Bretagne,Rennes,TPE,60,0,Inbound Marketing,Webinar,31.65,Logiciels SaaS,Collaboration Suite,8,2598.99,6.6,2427.46,3,25,28.0,10.0,61,74.5,2,98.88,0,Upsell
TXN-00014,CLI-5037,COM-148,2022-04-22,Île-de-France,Paris,TPE,39,4,Digital,Webinar,131.67,Data & BI,ML Platform,1,6079.71,2.1,5952.04,6,1,28.7,6.6,52,70.7,3,98.63,0,Renouvelé
TXN-00015,CLI-5783,COM-199,2023-11-01,Île-de-France,Boulogne-Billancourt,PME,45,0,Commercial Terrain,LinkedIn Ads,559.68,Cybersécurité,SecureGuard Basic,12,9372.51,4.8,8922.63,6,1,39.7,6.4,-6,94.9,3,98.63,0,Renouvelé
TXN-00016,CLI-3365,COM-181,2021-02-24,Île-de-France,Montreuil,PME,26,2,Digital,SEO Organique,25.25,Infrastructure Cloud,Cloud Starter,48,8032.3,2.1,7863.62,7,28,22.9,6.8,41,60.0,2,99.09,0,Renouvelé
TXN-00017,CLI-2998,COM-181,2022-02-12,Provence-Alpes-Côte d'Azur,Nice,Grand Compte,47,2,Digital,LinkedIn Ads,393.01,Logiciels SaaS,HR Manager,75,10053.91,5.9,9460.73,5,31,32.0,8.3,20,46.3,2,99.63,0,Renouvelé
TXN-00018,CLI-4286,COM-174,2023-05-10,Nouvelle-Aquitaine,La Rochelle,PME,31,1,Digital,Email Campaign,36.84,Logiciels SaaS,ERP Cloud,10,4821.15,9.6,4358.32,5,120,31.4,9.8,70,31.2,2,98.51,0,Upsell
TXN-00019,CLI-5224,COM-166,2022-03-28,Auvergne-Rhône-Alpes,Lyon,TPE,38,5,Digital,Webinar,54.08,Infrastructure Cloud,Hybrid Connect,5,1995.58,3.1,1933.72,1,11,41.8,7.8,0,89.6,4,99.78,0,Renouvelé
TXN-00020,CLI-9223,COM-175,2023-07-09,Provence-Alpes-Côte d'Azur,Toulon,Particulier,36,0,Digital,LinkedIn Ads,698.86,Logiciels SaaS,ERP Cloud,1,1061.04,7.1,985.71,3,12,24.9,10.0,58,64.1,4,99.14,0,Upsell
TXN-00021,CLI-6392,COM-134,2022-07-24,Occitanie,Perpignan,Startup,50,2,Digital,Email Campaign,40.07,Support & Maintenance,Support Gold,12,1371.59,6.4,1283.81,3,27,15.2,5.7,-23,75.0,3,99.44,0,Renouvelé
TXN-00022,CLI-5953,COM-165,2021-01-14,Île-de-France,Paris,TPE,22,0,Digital,LinkedIn Ads,424.5,Logiciels SaaS,ERP Cloud,7,2464.76,6.8,2297.16,1,40,16.5,6.8,54,85.1,3,99.12,0,Non renouvelé
TXN-00023,CLI-5278,COM-132,2021-11-23,Provence-Alpes-Côte d'Azur,Nice,Particulier,18,4,Inbound Marketing,None,0.0,Support & Maintenance,Support Gold,1,691.18,2.8,671.83,5,22,41.6,5.2,58,66.6,2,97.97,0,Renouvelé
TXN-00024,CLI-3554,COM-166,2023-05-16,Auvergne-Rhône-Alpes,Grenoble,Startup,35,0,Digital,SEO Organique,22.61,Data & BI,Data Warehouse,16,13545.99,8.5,12394.58,2,28,10.2,6.3,7,83.7,2,99.58,0,Renouvelé
TXN-00025,CLI-1981,COM-108,2022-11-28,Auvergne-Rhône-Alpes,Annecy,Particulier,43,5,Partenaire Revendeur,Email Campaign,10.9,Infrastructure Cloud,Cloud Enterprise,1,1147.82,2.9,1114.53,5,6,34.9,6.0,60,35.4,1,100.0,0,Renouvelé
TXN-00026,CLI-4432,COM-159,2022-07-24,Grand Est,Strasbourg,TPE,39,5,Digital,Webinar,47.28,Data & BI,DataViz Pro,6,5632.75,8.6,5148.33,6,37,16.2,4.6,31,88.6,2,100.0,0,Renouvelé
TXN-00027,CLI-6230,COM-101,2021-11-15,Île-de-France,Paris,PME,52,5,Inbound Marketing,Email Campaign,48.64,Cybersécurité,Endpoint Shield,15,7715.35,17.3,6380.59,2,15,26.8,8.9,-30,83.6,1,99.18,0,Upsell
TXN-00028,CLI-4235,COM-183,2022-03-17,Nouvelle-Aquitaine,Limoges,Grand Compte,43,0,Inbound Marketing,Google Ads,147.51,Logiciels SaaS,CRM Pro,235,9275.77,11.7,8190.5,1,25,12.4,8.3,43,44.3,1,97.66,0,Upsell
TXN-00029,CLI-2223,COM-131,2022-11-21,Occitanie,Nîmes,Startup,31,2,Téléphonie,Salon Pro,1443.53,Infrastructure Cloud,Hybrid Connect,28,5794.63,1.9,5684.53,3,32,50.4,6.5,10,54.1,4,99.21,0,Non renouvelé
TXN-00030,CLI-7970,COM-151,2021-07-29,Île-de-France,Boulogne-Billancourt,PME,18,0,Téléphonie,Email Campaign,11.87,Infrastructure Cloud,Cloud Starter,43,11170.93,11.2,9919.79,1,1,13.3,7.8,62,28.0,2,99.06,0,Renouvelé
TXN-00031,CLI-2005,COM-113,2021-07-09,Occitanie,Perpignan,PME,35,5,Digital,Referral,95.23,Cybersécurité,SecureGuard Pro,27,10344.05,6.9,9630.31,3,25,61.5,6.5,74,56.8,3,99.76,0,Upsell
TXN-00032,CLI-8832,COM-103,2023-02-18,Île-de-France,Montreuil,TPE,50,3,Inbound Marketing,Google Ads,463.84,Cybersécurité,Endpoint Shield,9,9729.81,1.2,9613.05,5,85,5.5,6.8,22,21.1,2,98.12,0,Renouvelé
TXN-00033,CLI-2575,COM-106,2021-07-18,Île-de-France,Versailles,TPE,33,2,Partenaire Revendeur,None,0.0,Infrastructure Cloud,Cloud Starter,3,4472.09,3.9,4297.68,3,3,27.9,8.1,2,82.9,1,98.64,0,Renouvelé
TXN-00034,CLI-8957,COM-158,2023-01-06,Normandie,Rouen,TPE,38,3,Inbound Marketing,Email Campaign,33.56,Infrastructure Cloud,Cloud Starter,7,2351.14,13.7,2029.03,6,3,36.5,7.2,34,84.1,2,98.47,0,Renouvelé
TXN-00035,CLI-2633,COM-159,2022-12-06,Normandie,Le Havre,PME,43,0,Téléphonie,Email Campaign,38.95,Infrastructure Cloud,Hybrid Connect,34,5847.61,5.6,5520.14,6,6,25.0,7.2,56,80.2,2,98.91,1,Non renouvelé
TXN-00036,CLI-4365,COM-100,2022-06-26,Grand Est,Metz,TPE,25,2,Digital,Salon Pro,725.67,Infrastructure Cloud,Cloud Enterprise,10,5559.61,6.4,5203.79,4,3,19.2,3.8,16,65.4,1,99.05,0,Upsell
TXN-00037,CLI-9905,COM-196,2021-03-30,Provence-Alpes-Côte d'Azur,Toulon,TPE,45,1,Inbound Marketing,Email Campaign,49.87,Cybersécurité,SecureGuard Basic,2,1765.38,13.4,1528.82,2,57,30.9,8.7,48,63.4,5,98.55,0,Upsell
TXN-00038,CLI-7261,COM-109,2023-07-30,Île-de-France,Boulogne-Billancourt,Particulier,57,10,Digital,LinkedIn Ads,329.2,Support & Maintenance,Support Platinum,1,173.92,15.2,147.48,8,63,41.6,9.5,61,68.3,1,100.0,0,Upsell
TXN-00039,CLI-1962,COM-156,2021-09-13,Hauts-de-France,Amiens,Startup,35,5,Téléphonie,Salon Pro,1982.7,Cybersécurité,Endpoint Shield,12,7019.91,9.5,6353.02,3,19,26.0,9.0,68,49.6,2,100.0,0,Renouvelé
TXN-00040,CLI-2308,COM-162,2023-02-15,Auvergne-Rhône-Alpes,Clermont-Ferrand,Particulier,24,3,Digital,Salon Pro,1744.52,Data & BI,DataViz Pro,1,5506.78,3.7,5303.03,6,46,57.3,6.2,46,88.0,3,97.31,0,Non renouvelé
TXN-00041,CLI-6307,COM-197,2021-06-11,Île-de-France,Paris,Startup,37,8,Inbound Marketing,Salon Pro,1218.93,Cybersécurité,SecureGuard Basic,18,15280.13,4.2,14638.36,7,10,25.3,9.0,-16,82.1,1,99.35,0,Upsell
TXN-00042,CLI-8873,COM-128,2022-08-24,Nouvelle-Aquitaine,Pau,TPE,18,1,Digital,LinkedIn Ads,596.5,Cybersécurité,Endpoint Shield,3,4082.07,7.7,3767.75,4,21,50.2,8.0,26,63.7,1,100.0,0,Renouvelé
TXN-00043,CLI-2620,COM-183,2023-01-11,Île-de-France,Montreuil,PME,42,6,Digital,SEO Organique,19.95,Cybersécurité,SecureGuard Pro,27,17575.6,18.1,14394.42,7,23,24.9,5.6,28,62.0,1,99.31,0,Renouvelé
TXN-00044,CLI-2415,COM-161,2022-01-29,Pays de la Loire,Nantes,Startup,43,1,Téléphonie,Webinar,109.09,Logiciels SaaS,Collaboration Suite,21,3642.05,11.5,3223.21,1,10,32.2,6.7,37,59.4,3,98.45,0,Renouvelé
TXN-00045,CLI-9118,COM-140,2021-05-23,Provence-Alpes-Côte d'Azur,Toulon,TPE,58,3,Partenaire Revendeur,SEO Organique,25.81,Support & Maintenance,Support Gold,4,311.2,3.8,299.37,4,26,40.1,7.0,-42,73.5,3,98.68,0,Renouvelé
TXN-00046,CLI-2900,COM-173,2021-04-04,Hauts-de-France,Amiens,TPE,35,4,Téléphonie,Email Campaign,13.04,Logiciels SaaS,ERP Cloud,6,2313.76,5.7,2181.88,5,55,35.7,3.0,11,51.1,3,100.0,0,Upsell
TXN-00047,CLI-4330,COM-139,2022-04-12,Provence-Alpes-Côte d'Azur,Nice,TPE,42,0,Digital,Google Ads,481.26,Infrastructure Cloud,Cloud Starter,6,2669.55,17.1,2213.06,5,87,49.1,7.6,29,74.0,2,98.77,0,Renouvelé
TXN-00048,CLI-3215,COM-176,2022-08-16,Nouvelle-Aquitaine,Pau,TPE,27,1,Digital,Email Campaign,23.23,Logiciels SaaS,Collaboration Suite,1,4033.6,6.1,3787.55,4,10,26.9,5.2,48,50.2,3,99.99,0,Renouvelé
TXN-00049,CLI-2601,COM-125,2021-06-13,Nouvelle-Aquitaine,La Rochelle,PME,33,0,Partenaire Revendeur,Google Ads,219.66,Logiciels SaaS,ERP Cloud,33,4578.91,8.1,4208.02,4,77,21.0,5.3,100,34.2,1,99.05,0,Renouvelé
TXN-00050,CLI-6069,COM-125,2022-04-22,Île-de-France,Versailles,TPE,19,15,Inbound Marketing,None,0.0,Data & BI,Analytics Engine,5,2891.65,8.5,2645.86,2,29,22.8,7.5,54,76.8,4,98.76,0,Renouvelé
TXN-00051,CLI-1265,COM-104,2021-07-26,Normandie,Rouen,PME,35,0,Partenaire Revendeur,None,0.0,Infrastructure Cloud,Hybrid Connect,20,3147.39,18.3,2571.42,3,27,32.2,6.6,5,87.0,3,100.0,0,Upsell
TXN-00052,CLI-3217,COM-156,2023-02-18,Grand Est,Mulhouse,Particulier,34,2,Commercial Terrain,SEO Organique,29.79,Data & BI,DataViz Pro,1,3073.57,11.4,2723.18,4,3,10.0,5.4,10,47.0,3,100.0,0,Renouvelé
TXN-00053,CLI-5971,COM-167,2022-07-24,Pays de la Loire,Le Mans,PME,41,4,Inbound Marketing,LinkedIn Ads,231.97,Logiciels SaaS,Collaboration Suite,46,1088.43,7.9,1002.44,5,37,43.9,7.5,14,81.1,3,99.56,1,Non renouvelé
TXN-00054,CLI-8601,COM-113,2023-07-18,Pays de la Loire,Saint-Nazaire,Grand Compte,30,0,Commercial Terrain,Referral,65.61,Logiciels SaaS,ERP Cloud,242,6814.93,2.6,6637.74,5,11,36.0,5.7,23,61.8,4,99.87,0,Renouvelé
TXN-00055,CLI-1070,COM-114,2023-01-18,Occitanie,Montpellier,TPE,39,1,Commercial Terrain,None,0.0,Logiciels SaaS,CRM Pro,1,2670.69,2.3,2609.26,8,16,27.6,5.7,41,70.8,3,100.0,0,Renouvelé
TXN-00056,CLI-3647,COM-109,2021-11-30,Pays de la Loire,Le Mans,Startup,33,2,Commercial Terrain,None,0.0,Cybersécurité,SOC 24/7,22,3699.22,5.1,3510.56,5,4,5.9,9.3,6,87.6,1,98.91,0,Renouvelé
TXN-00057,CLI-9532,COM-156,2023-01-29,Île-de-France,Montreuil,TPE,34,0,Commercial Terrain,Google Ads,453.69,Data & BI,ML Platform,1,11301.84,1.5,11132.31,4,7,33.2,7.5,28,52.4,4,99.22,1,Non renouvelé
TXN-00058,CLI-2446,COM-113,2022-12-29,Île-de-France,Boulogne-Billancourt,PME,38,4,Partenaire Revendeur,SEO Organique,23.71,Infrastructure Cloud,Cloud Business,50,15815.74,5.9,14882.61,5,29,31.1,7.8,29,81.4,6,98.2,0,Non renouvelé
TXN-00059,CLI-5740,COM-173,2022-03-06,Île-de-France,Boulogne-Billancourt,TPE,38,1,Commercial Terrain,Email Campaign,26.55,Infrastructure Cloud,Hybrid Connect,8,2102.72,8.1,1932.4,7,28,20.4,10.0,45,61.9,2,99.69,0,Upsell
TXN-00060,CLI-2507,COM-190,2022-07-01,Provence-Alpes-Côte d'Azur,Aix-en-Provence,PME,47,0,Digital,Email Campaign,40.94,Support & Maintenance,Support Platinum,13,1304.55,9.5,1180.62,4,18,31.5,6.8,22,37.4,4,98.42,0,Non renouvelé
TXN-00061,CLI-2953,COM-197,2021-05-27,Auvergne-Rhône-Alpes,Grenoble,Particulier,36,2,Digital,None,0.0,Logiciels SaaS,HR Manager,1,2111.48,4.2,2022.8,4,29,23.5,6.1,12,64.2,4,100.0,0,Non renouvelé
TXN-00062,CLI-3171,COM-154,2021-12-17,Provence-Alpes-Côte d'Azur,Nice,Particulier,33,1,Digital,Referral,64.78,Infrastructure Cloud,Cloud Starter,1,1933.48,5.0,1836.81,4,60,18.4,6.1,13,81.5,4,98.69,0,Renouvelé
TXN-00063,CLI-9742,COM-106,2023-12-30,Bretagne,Brest,TPE,35,7,Téléphonie,None,0.0,Infrastructure Cloud,Cloud Enterprise,7,1676.26,4.1,1607.53,2,1,22.2,10.0,46,67.6,3,99.46,0,Upsell
TXN-00064,CLI-8526,COM-104,2022-05-17,Auvergne-Rhône-Alpes,Grenoble,PME,29,6,Digital,Referral,27.16,Logiciels SaaS,Collaboration Suite,23,4266.84,12.5,3733.48,5,6,36.8,7.0,13,57.7,3,99.04,0,Renouvelé
TXN-00065,CLI-5900,COM-135,2021-12-01,Provence-Alpes-Côte d'Azur,Nice,Startup,33,1,Digital,LinkedIn Ads,572.25,Logiciels SaaS,Collaboration Suite,12,2090.55,1.6,2057.1,3,10,27.7,5.5,55,73.0,2,100.0,0,Renouvelé
TXN-00066,CLI-6195,COM-178,2023-08-05,Nouvelle-Aquitaine,Pau,Grand Compte,62,1,Téléphonie,Referral,49.18,Logiciels SaaS,ERP Cloud,260,18082.29,9.8,16310.23,5,25,20.6,7.4,45,46.1,1,100.0,0,Renouvelé
TXN-00067,CLI-3239,COM-103,2023-02-17,Île-de-France,Versailles,TPE,27,1,Téléphonie,SEO Organique,3.14,Support & Maintenance,Support Platinum,10,1121.98,2.2,1097.3,4,32,34.2,6.1,2,67.9,4,99.68,0,Renouvelé
TXN-00068,CLI-8939,COM-121,2022-07-07,Grand Est,Mulhouse,PME,34,0,Partenaire Revendeur,Email Campaign,15.63,Cybersécurité,Endpoint Shield,49,7704.16,10.3,6910.63,8,24,5.0,6.5,72,69.1,1,98.84,0,Upsell
TXN-00069,CLI-2230,COM-111,2022-03-26,Île-de-France,Versailles,Particulier,33,2,Commercial Terrain,SEO Organique,14.57,Data & BI,Analytics Engine,1,3389.61,8.6,3098.1,5,35,29.9,10.0,37,43.4,4,100.0,0,Renouvelé
TXN-00070,CLI-4491,COM-134,2022-10-27,Normandie,Caen,Grand Compte,35,4,Inbound Marketing,Webinar,60.98,Cybersécurité,SecureGuard Pro,335,8484.9,8.5,7763.68,8,17,16.4,7.4,15,37.7,3,100.0,0,Upsell
TXN-00071,CLI-8145,COM-136,2021-04-25,Grand Est,Metz,TPE,34,1,Inbound Marketing,Google Ads,435.55,Cybersécurité,Endpoint Shield,8,2958.26,8.1,2718.64,3,47,15.1,4.9,89,76.4,1,98.0,0,Non renouvelé
TXN-00072,CLI-8805,COM-137,2022-04-15,Île-de-France,Paris,Startup,41,0,Partenaire Revendeur,Webinar,143.47,Data & BI,Analytics Engine,24,23712.59,8.1,21791.87,3,2,21.5,6.4,34,67.1,0,99.63,1,Non renouvelé
TXN-00073,CLI-9357,COM-111,2021-03-07,Île-de-France,Paris,TPE,18,1,Téléphonie,Email Campaign,39.75,Support & Maintenance,Support Platinum,6,805.45,6.1,756.32,4,29,37.0,3.9,45,82.9,4,99.68,0,Renouvelé
TXN-00074,CLI-7037,COM-145,2022-10-09,Bretagne,Brest,Grand Compte,50,0,Digital,Google Ads,343.94,Logiciels SaaS,ERP Cloud,452,16249.56,0.5,16168.31,1,1,37.4,5.8,35,69.4,2,98.9,0,Renouvelé
TXN-00075,CLI-9042,COM-142,2023-04-02,Hauts-de-France,Roubaix,Particulier,45,3,Inbound Marketing,Salon Pro,783.13,Infrastructure Cloud,Cloud Enterprise,1,2224.02,12.2,1952.69,4,7,18.5,9.0,78,55.7,2,98.99,0,Renouvelé
TXN-00076,CLI-7235,COM-175,2022-07-03,Hauts-de-France,Amiens,TPE,23,2,Digital,Email Campaign,5.61,Data & BI,ML Platform,1,13696.53,6.9,12751.47,3,1,27.9,5.9,88,76.2,0,98.31,0,Renouvelé
TXN-00077,CLI-5826,COM-154,2021-05-16,Grand Est,Strasbourg,TPE,18,2,Digital,SEO Organique,19.8,Support & Maintenance,Support Bronze,10,235.1,9.8,212.06,4,27,12.0,10.0,42,45.1,9,99.59,0,Upsell
TXN-00078,CLI-8023,COM-157,2022-03-09,Île-de-France,Boulogne-Billancourt,PME,26,1,Commercial Terrain,None,0.0,Support & Maintenance,Support Gold,50,1393.41,5.1,1322.35,4,7,29.8,2.5,37,65.5,5,98.49,0,Renouvelé
TXN-00079,CLI-4072,COM-135,2022-10-07,Auvergne-Rhône-Alpes,Annecy,TPE,35,7,Digital,Email Campaign,22.34,Cybersécurité,SOC 24/7,9,12475.12,3.6,12026.02,4,2,36.3,6.4,63,73.3,0,99.77,1,Non renouvelé
TXN-00080,CLI-2175,COM-129,2022-03-12,Île-de-France,Montreuil,TPE,68,0,Inbound Marketing,Referral,40.13,Logiciels SaaS,ERP Cloud,3,4126.48,6.0,3878.89,6,44,24.3,7.4,20,69.0,3,99.44,0,Non renouvelé
TXN-00081,CLI-4913,COM-129,2023-10-20,Bretagne,Quimper,Grand Compte,44,6,Téléphonie,SEO Organique,1.72,Logiciels SaaS,HR Manager,114,20598.9,3.3,19919.14,3,1,39.8,7.3,42,64.0,2,98.11,0,Renouvelé
TXN-00082,CLI-2305,COM-129,2023-03-22,Occitanie,Perpignan,PME,18,1,Téléphonie,LinkedIn Ads,644.87,Support & Maintenance,Support Platinum,14,1553.68,15.2,1317.52,6,23,34.2,8.2,15,80.4,2,98.76,0,Upsell
TXN-00083,CLI-1614,COM-185,2023-07-29,Provence-Alpes-Côte d'Azur,Toulon,Particulier,29,6,Téléphonie,SEO Organique,19.92,Infrastructure Cloud,Cloud Starter,1,1401.92,7.6,1295.37,5,75,48.3,6.7,91,47.8,3,100.0,1,Non renouvelé
TXN-00084,CLI-9180,COM-184,2021-10-20,Île-de-France,Versailles,PME,37,3,Commercial Terrain,None,0.0,Logiciels SaaS,ERP Cloud,13,2510.72,11.0,2234.54,4,46,34.4,9.5,67,88.3,2,98.42,0,Upsell
TXN-00085,CLI-5942,COM-166,2022-06-27,Provence-Alpes-Côte d'Azur,Nice,PME,41,0,Digital,SEO Organique,24.85,Support & Maintenance,Support Platinum,27,807.78,5.2,765.78,6,27,21.4,5.0,88,85.0,5,98.62,0,Non renouvelé
TXN-00086,CLI-2821,COM-138,2021-10-13,Provence-Alpes-Côte d'Azur,Marseille,TPE,22,5,Téléphonie,SEO Organique,14.21,Logiciels SaaS,Collaboration Suite,1,3773.32,12.6,3297.88,4,3,43.4,6.8,20,92.7,7,99.18,0,Renouvelé
TXN-00087,CLI-7208,COM-184,2022-05-21,Hauts-de-France,Amiens,Startup,36,3,Partenaire Revendeur,Salon Pro,857.68,Data & BI,ML Platform,8,12704.61,5.7,11980.45,1,46,64.9,5.2,62,67.1,3,99.93,0,Renouvelé
TXN-00088,CLI-3000,COM-172,2022-06-23,Occitanie,Montpellier,Grand Compte,29,0,Commercial Terrain,SEO Organique,1.9,Cybersécurité,SOC 24/7,493,17871.68,12.4,15655.59,5,12,40.7,6.3,47,41.2,2,99.07,0,Renouvelé
TXN-00089,CLI-5690,COM-193,2023-05-28,Pays de la Loire,Nantes,TPE,24,0,Partenaire Revendeur,None,0.0,Logiciels SaaS,Collaboration Suite,7,3153.88,1.4,3109.73,7,4,40.6,6.7,44,93.0,4,98.06,0,Renouvelé
TXN-00090,CLI-3774,COM-152,2023-03-29,Nouvelle-Aquitaine,Pau,PME,41,3,Digital,Google Ads,405.84,Infrastructure Cloud,Hybrid Connect,26,8430.64,7.9,7764.62,2,133,40.7,8.3,84,62.0,1,100.0,0,Upsell
TXN-00091,CLI-5087,COM-189,2023-01-12,Île-de-France,Versailles,Grand Compte,47,3,Digital,Email Campaign,7.03,Logiciels SaaS,HR Manager,477,16565.88,4.9,15754.15,1,2,29.0,5.4,7,61.0,1,100.0,0,Renouvelé
TXN-00092,CLI-3486,COM-143,2022-03-26,Hauts-de-France,Amiens,Grand Compte,48,4,Digital,LinkedIn Ads,309.26,Cybersécurité,SOC 24/7,320,32942.83,7.4,30505.06,4,38,31.9,6.7,16,69.2,3,98.96,0,Renouvelé
TXN-00093,CLI-2949,COM-147,2021-10-11,Grand Est,Reims,Particulier,44,3,Commercial Terrain,Google Ads,305.9,Infrastructure Cloud,Hybrid Connect,1,1020.8,11.2,906.47,1,13,16.6,7.2,18,58.8,4,99.83,0,Renouvelé
TXN-00094,CLI-6707,COM-120,2023-11-10,Nouvelle-Aquitaine,Bordeaux,PME,32,3,Partenaire Revendeur,Webinar,123.91,Logiciels SaaS,HR Manager,17,5479.72,7.2,5085.18,1,55,35.0,7.5,-8,69.6,3,98.54,0,Renouvelé
TXN-00095,CLI-5652,COM-129,2023-10-08,Grand Est,Metz,Grand Compte,46,4,Partenaire Revendeur,LinkedIn Ads,754.48,Support & Maintenance,Support Bronze,334,1146.27,8.7,1046.54,3,23,39.0,5.2,-24,42.3,2,100.0,0,Renouvelé
TXN-00096,CLI-1784,COM-172,2021-07-06,Nouvelle-Aquitaine,Bordeaux,TPE,41,2,Commercial Terrain,Email Campaign,34.69,Infrastructure Cloud,Cloud Starter,9,4191.53,5.4,3965.19,6,66,24.6,7.6,29,44.3,1,100.0,0,Renouvelé
TXN-00097,CLI-2247,COM-113,2021-04-07,Nouvelle-Aquitaine,La Rochelle,Particulier,39,0,Téléphonie,Webinar,67.88,Logiciels SaaS,HR Manager,1,1670.55,8.5,1528.55,3,24,29.1,9.3,57,55.8,3,99.82,0,Renouvelé
TXN-00098,CLI-4890,COM-161,2021-08-13,Auvergne-Rhône-Alpes,Grenoble,PME,30,7,Partenaire Revendeur,LinkedIn Ads,388.25,Logiciels SaaS,CRM Pro,10,2114.11,6.7,1972.46,5,11,14.1,9.3,28,50.6,5,99.9,0,Upsell
TXN-00099,CLI-2350,COM-199,2021-11-10,Île-de-France,Montreuil,TPE,32,0,Digital,SEO Organique,21.61,Logiciels SaaS,ERP Cloud,5,1810.93,6.1,1700.46,1,96,19.1,6.7,10,70.0,3,100.0,0,Upsell
TXN-00100,CLI-6497,COM-187,2021-11-24,Île-de-France,Boulogne-Billancourt,Grand Compte,38,1,Digital,SEO Organique,2.16,Support & Maintenance,Support Gold,370,3137.88,13.8,2704.85,7,18,7.8,8.1,71,82.7,0,99.26,0,Renouvelé
TXN-00101,CLI-4568,COM-103,2023-05-15,Île-de-France,Versailles,TPE,67,3,Inbound Marketing,Webinar,93.61,Logiciels SaaS,ERP Cloud,5,2675.32,2.5,2608.44,4,56,26.5,6.9,0,30.1,5,97.52,0,Renouvelé
